t_out_sec,t_out_nanosec,t_imu_sec,t_imu_nanosec,t_cmd_sec,t_cmd_nanosec,imu_vx,imu_vy,imu_vz,cmd_vx,cmd_vy,cmd_vz
1761030662,16220732,1761030662,25559073,1761030662,16220732,0.0,0.0,0.0,0.0,0.0,16.46275783100009
1761030662,111717425,1761030662,111821499,1761030662,111717425,0.0,0.0,0.0,0.0,0.0,16.61037951200001
1761030662,277493899,1761030662,277504325,1761030662,277493899,0.0,0.0,0.0,0.0,0.0,16.660373407000066
1761030662,445645080,1761030662,445401654,1761030662,445645080,0.0,0.0,0.0,0.0,0.0,16.826210233000097
1761030662,545138350,1761030662,545273813,1761030662,545138350,0.0,0.0,0.0,0.0,0.0,16.9944256550001
1761030662,694890496,1761030662,695006589,1761030662,694890496,0.0,0.0,0.0,0.0,0.0,17.093848499000046
1761030662,794381933,1761030662,794388118,1761030662,794381933,0.0,0.0,0.0,0.0,0.0,17.243575016000023
1761030662,891718201,1761030662,891469923,1761030662,891718201,0.0,0.0,0.0,0.0,0.0,17.343110249000006
1761030662,995189438,1761030662,995167012,1761030662,995189438,0.0,0.0,0.0,0.0,0.0,17.440503221000085
1761030663,858263082,1761030663,845900609,1761030663,858263082,0.0,0.0,0.0,0.0,0.0,18.243167869000104
1761030663,992413530,1761030663,975931331,1761030663,992413530,0.0,0.0,0.0,0.0,0.0,18.492930563000073
1761030664,75234415,1761030664,61645700,1761030664,75234415,0.0,0.0,0.0,0.0,0.0,18.541058623000026
1761030664,209106659,1761030664,208927770,1761030664,209106659,0.0,0.0,0.0,0.0,0.0,18.623827175000088
1761030664,309888634,1761030664,307482169,1761030664,309888634,0.0,0.0,0.0,0.0,0.0,18.757689049000078
1761030664,375197727,1761030664,364331755,1761030664,375197727,0.0,0.0,0.0,0.0,0.0,18.858522357000084
1761030664,592529561,1761030664,574662916,1761030664,592529561,0.0,0.0,0.0,0.0,0.0,19.042957365999996
1761030664,827764298,1761030664,827799669,1761030664,827764298,0.0,0.0,0.0,0.0,0.0,19.22255189000009
1761030664,957861410,1761030664,942268730,1761030664,957861410,0.0,0.0,0.0,0.0,0.0,19.37649715100008
1761030665,131190557,1761030665,131044243,1761030665,131190557,0.0,0.0,0.0,0.0,0.0,19.627155143000095
1761030665,261520743,1761030665,245069544,1761030665,261520743,0.0,0.0,0.0,0.0,0.0,19.679887613999995
1761030665,378295509,1761030665,378414657,1761030665,378295509,0.0,0.0,0.0,0.0,0.0,19.810120817000097
1761030665,431985555,1761030665,431726758,1761030665,431985555,0.0,0.0,0.0,0.0,0.0,19.927011306000054
1761030665,510969882,1761030665,510827493,1761030665,510969882,0.0,0.0,0.0,0.0,0.0,19.98069818500005
1761030666,259322428,1761030666,259237206,1761030666,259322428,0.0,0.0,0.0,0.0,0.0,20.590691373000027
1761030666,392182652,1761030666,391945597,1761030666,392182652,0.0,0.0,0.0,0.0,0.0,20.80805522500009
1761030666,478537393,1761030666,478669115,1761030666,478537393,0.0,0.0,0.0,0.0,0.0,20.940854653000088
1761030666,675268727,1761030666,675019005,1761030666,675268727,0.0,0.0,0.0,0.0,0.0,21.027221929999996
1761030666,859126866,1761030666,845809280,1761030666,859126866,0.0,0.0,0.0,0.0,0.0,21.360451863000094
1761030666,928513369,1761030666,928618684,1761030666,928513369,0.0,0.0,0.0,0.0,0.0,21.407745533000025
1761030667,42064800,1761030667,33903163,1761030667,42064800,0.0,0.0,0.0,0.0,0.0,21.477200148000065
1761030667,178559101,1761030667,178681842,1761030667,178559101,0.0,0.0,0.0,0.0,0.0,21.675920317000077
1761030667,278379112,1761030667,278366335,1761030667,278379112,0.0,0.0,0.0,0.0,0.0,21.727253621000045
1761030667,427434388,1761030667,427520388,1761030667,427434388,0.0,0.0,0.0,0.0,0.0,21.82711783500008
1761030667,558363426,1761030667,542144023,1761030667,558363426,0.0,0.0,0.0,0.0,0.0,21.976163315000008
1761030667,675556285,1761030667,674474080,1761030667,675556285,0.0,0.0,0.0,0.0,0.0,22.106960593000053
1761030667,875170122,1761030667,874571381,1761030667,875170122,0.0,0.0,0.0,0.0,0.0,22.3103588030001
1761030667,958257063,1761030667,948129703,1761030667,958257063,0.0,0.0,0.0,0.0,0.0,22.42386625200004
1761030668,62231874,1761030668,62329596,1761030668,62231874,0.0,0.0,0.0,0.0,0.0,22.50694932300007
1761030668,180480845,1761030668,180247067,1761030668,180480845,0.0,0.0,0.0,0.0,0.0,22.610990893000007
1761030668,345414838,1761030668,345506042,1761030668,345414838,0.0,0.0,0.0,0.0,0.0,22.729145345999996
1761030668,461242455,1761030668,461285085,1761030668,461242455,0.0,0.0,0.0,0.0,0.0,22.894188950000057
1761030668,561333800,1761030668,561323189,1761030668,561333800,0.0,0.0,0.0,0.0,0.0,23.010004252000044
1761030668,627607338,1761030668,627613801,1761030668,627607338,0.0,0.0,0.0,0.0,0.0,23.110106486000063
1761030668,817568334,1761030668,817393259,1761030668,817568334,0.0,0.0,0.0,0.0,0.0,23.17635902400002
